File  .text      Size Crate
3.7%   8.0%    3.1MiB cranelift_codegen
3.4%   7.3%    2.8MiB std
3.2%   6.9%    2.6MiB sentinel_daemon
2.8%   6.1%    2.3MiB [Unknown]
2.1%   4.6%    1.8MiB zenoh
1.7%   3.7%    1.4MiB wasmtime
1.6%   3.5%    1.3MiB sentinel_wasm
1.5%   3.3%    1.3MiB cranelift_assembler_x64
1.5%   3.2%    1.2MiB sentinel_ecs
1.3%   2.9%    1.1MiB zenoh_config
1.3%   2.9%    1.1MiB wasmparser
1.2%   2.6% 1018.9KiB zenoh_transport
1.1%   2.4%  948.3KiB wasmtime_wasi
1.0%   2.3%  890.8KiB redb
1.0%   2.1%  834.0KiB wasmtime_internal_cranelift
1.0%   2.1%  808.9KiB wast
0.9%   2.0%  794.6KiB wasmtime_environ
0.9%   2.0%  767.9KiB rustls
0.6%   1.4%  539.6KiB async_nats
0.6%   1.4%  530.9KiB sentinel_common
12.7%  27.7%   10.6MiB And 286 more crates. Use -n N to show more.
46.0% 100.0%   38.2MiB .text section size, the file size is 83.0MiB
